price,year,body_type,volume,fuel,gearbox,type,brand,model
5500000,2018,универсал,1.6,бензин,механика,Б/у,ВАЗ,Largus Cross
2500000,2013,седан,1.6,бензин,автомат,Б/у,ВАЗ,Granta 2190
1800000,2011,седан,1.7,бензин,механика,Б/у,ВАЗ,2107
900000,2001,седан,1.5,бензин,механика,Б/у,ВАЗ,2110
2000000,2014,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
1890000,2012,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
2000000,2013,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,2114
6500000,2021,внедорожник,1.7,бензин,механика,Б/у,ВАЗ,Niva Travel
3000000,2003,внедорожник,1.7,бензин,механика,Б/у,ВАЗ,Lada 2121
4250000,2014,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
2100000,2013,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
6900000,2020,внедорожник,1.7,бензин,механика,Б/у,ВАЗ,Lada 2121
3370000,2018,седан,1.6,бензин,автомат,Б/у,ВАЗ,Granta 2190
2500000,2013,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,Priora 2172
700000,2004,седан,1.5,бензин,механика,Б/у,ВАЗ,2115
4600000,2018,универсал,1.6,бензин,механика,Б/у,ВАЗ,Vesta SW
2000000,2015,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
2250000,2014,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
750000,2003,седан,1.5,бензин,механика,Б/у,ВАЗ,2110
1500000,2012,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
1000000,2004,внедорожник,1.7,бензин,механика,Б/у,ВАЗ,Lada 2131 (5-ти дверный)
5900000,2021,седан,1.6,бензин,механика,Б/у,ВАЗ,Vesta
2600000,2015,хэтчбек,1.6,бензин,робот,Б/у,ВАЗ,Priora 2172
3350000,2020,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
2300000,2014,внедорожник,1.7,бензин,механика,Б/у,ВАЗ,Lada 2121
4700000,2018,седан,1.6,бензин,робот,Б/у,ВАЗ,Vesta
350000,2000,седан,1.5,бензин,механика,Б/у,ВАЗ,2110
3490000,2014,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
250000,1997,седан,1.6,бензин,механика,Б/у,ВАЗ,2106
2100000,2011,универсал,1.6,бензин,механика,Б/у,ВАЗ,Priora 2171
970000,2008,хэтчбек,1.5,бензин,механика,Б/у,ВАЗ,2114
6500000,2021,седан,1.6,бензин,вариатор,Б/у,ВАЗ,Vesta
3400000,2014,универсал,1.6,бензин,механика,Б/у,ВАЗ,Largus
2400000,2013,универсал,1.6,газ,механика,Б/у,ВАЗ,Priora 2171
2100000,2013,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
1350000,2004,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,2112
2300000,2013,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
1600000,2012,универсал,1.6,бензин,механика,Б/у,ВАЗ,Priora 2171
3900000,2017,универсал,1.6,бензин,механика,Б/у,ВАЗ,Largus
1500000,2013,универсал,1.6,бензин,механика,Б/у,ВАЗ,Priora 2171
2970000,2020,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
2250000,2013,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
1800000,2013,универсал,1.6,бензин,механика,Б/у,ВАЗ,Priora 2171
3300000,2015,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
3600000,2015,универсал,1.6,газ-бензин,механика,Б/у,ВАЗ,Largus
2200000,2013,универсал,1.6,бензин,механика,Б/у,ВАЗ,Priora 2171
1250000,2013,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,2114
3450000,2014,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
